Table C2 
Forsterite Melting and Partitioning


$\tfrac{{M}_{\mathrm{proj}}}{{M}_{\mathrm{earth}}}$	$\tfrac{{v}_{\mathrm{imp}}}{{v}_{\mathrm{esc}}}$	theta	E _imp (J)	M _melt (kg)	M _scf (kg)	M _scf ^atmo (kg)	M _vapor (kg)	M _atmo (kg)	M _disk (kg)	
0.006	2	0	7.2 x 10^30	6.4 x 10^23	7.4 x 10^22	3.0 x 10^22	1.3 x 10^22	4.3 x 10^22	4.2 x 10^20	
0.006	2	30	7.2 x 10^30	5.8 x 10^23	6.9 x 10^22	3.7 x 10^22	9.5 x 10^21	4.6 x 10^22	3.4 x 10^21	
0.006	2	45	7.2 x 10^30	4.0 x 10^23	4.1 x 10^22	2.6 x 10^22	3.8 x 10^21	3.0 x 10^22	1.1 x 10^21	
0.006	2	60	7.2 x 10^30	7.0 x 10^22	7.7 x 10^21	3.9 x 10^21	3.8 x 10^19	4.0 x 10^21	2.4 x 10^20	
0.012	1.1	0	4.2 x 10^30	4.6 x 10^23	2.7 x 10^22	1.2 x 10^22	2.5 x 10^21	1.4 x 10^22	7.8 x 10^19	
0.012	1.1	30	4.2 x 10^30	4.1 x 10^23	4.8 x 10^22	3.0 x 10^22	4.8 x 10^21	3.5 x 10^22	7.5 x 10^20	
0.012	1.1	45	4.2 x 10^30	3.6 x 10^23	4.4 x 10^22	2.6 x 10^22	1.1 x 10^21	2.7 x 10^22	1.2 x 10^21	
0.012	1.1	60	4.2 x 10^30	1.7 x 10^23	1.3 x 10^22	8.7 x 10^21	1.4 x 10^20	8.9 x 10^21	1.5 x 10^21	
0.012	1.5	0	7.9 x 10^30	7.3 x 10^23	7.1 x 10^22	2.3 x 10^22	1.2 x 10^22	3.4 x 10^22	7.4 x 10^20	
0.012	1.5	30	7.9 x 10^30	6.2 x 10^23	8.1 x 10^22	4.4 x 10^22	1.3 x 10^22	5.7 x 10^22	1.8 x 10^21	
0.012	1.5	45	7.9 x 10^30	4.5 x 10^23	5.0 x 10^22	3.2 x 10^22	3.7 x 10^21	3.6 x 10^22	1.7 x 10^21	
0.012	1.5	60	7.9 x 10^30	1.2 x 10^23	1.2 x 10^22	6.3 x 10^21	9.2 x 10^19	6.4 x 10^21	6.3 x 10^20	
0.012	2	0	1.4 x 10^31	1.1 x 10^24	1.6 x 10^23	6.5 x 10^22	2.8 x 10^22	9.3 x 10^22	2.1 x 10^21	
0.012	2	30	1.4 x 10^31	8.7 x 10^23	1.6 x 10^23	7.2 x 10^22	2.0 x 10^22	9.2 x 10^22	5.6 x 10^21	
0.012	2	45	1.4 x 10^31	5.9 x 10^23	6.6 x 10^22	3.7 x 10^22	7.7 x 10^21	4.5 x 10^22	2.0 x 10^21	
0.012	2	60	1.4 x 10^31	1.1 x 10^23	1.3 x 10^22	7.5 x 10^21	5.1 x 10^19	7.5 x 10^21	3.0 x 10^20	
Notes.
^1. M _melt, M _scf, and M _vapor give the total liquid, supercritical fluid, and vapor mass, respectively, for forsterite particles within the interior, surface, and atmosphere (all particles except disk and escaping particles).
^2. M _scf ^atmo gives the mass of supercritical fluid in the atmosphere. M _scf-M _scf ^atmo therefore gives the mass of supercritical fluid in the surface and interior.
^3. M _atmo and M _disk gives the total mass of forsterite (of all phases) in the atmosphere and disk.
